GeographyCode,DateCode,Measurement,Units,Value,Property Type
E12000002,2015 Mar,Average Price (pounds),Percent,135261,All Property Types
E12000003,2015 Mar,Average Price (pounds),Percent,137740,All Property Types
E12000004,2015 Mar,Average Price (pounds),Percent,154728,All Property Types
E12000005,2015 Mar,Average Price (pounds),Percent,159293,All Property Types
E12000006,2015 Mar,Average Price (pounds),Percent,229497,All Property Types
E12000007,2015 Mar,Average Price (pounds),Percent,404706,All Property Types
E12000008,2015 Mar,Average Price (pounds),Percent,265090,All Property Types
E12000009,2015 Mar,Average Price (pounds),Percent,212109,All Property Types
E92000001,2015 Feb,Average Price (pounds),Percent,203424,All Property Types
E12000001,2015 Feb,Average Price (pounds),Percent,118525,All Property Types
E12000002,2015 Feb,Average Price (pounds),Percent,137141,All Property Types
E12000003,2015 Feb,Average Price (pounds),Percent,136993,All Property Types
E12000004,2015 Feb,Average Price (pounds),Percent,154210,All Property Types
E12000005,2015 Feb,Average Price (pounds),Percent,160388,All Property Types
E12000006,2015 Feb,Average Price (pounds),Percent,229383,All Property Types
E12000007,2015 Feb,Average Price (pounds),Percent,404773,All Property Types
E12000008,2015 Feb,Average Price (pounds),Percent,264568,All Property Types
E12000009,2015 Feb,Average Price (pounds),Percent,210050,All Property Types
E92000001,2015 Jan,Average Price (pounds),Percent,202856,All Property Types
E12000001,2015 Jan,Average Price (pounds),Percent,117156,All Property Types
E12000002,2015 Jan,Average Price (pounds),Percent,136041,All Property Types
E12000003,2015 Jan,Average Price (pounds),Percent,136169,All Property Types
E12000004,2015 Jan,Average Price (pounds),Percent,153669,All Property Types
E12000005,2015 Jan,Average Price (pounds),Percent,158683,All Property Types
E12000006,2015 Jan,Average Price (pounds),Percent,228276,All Property Types
E12000007,2015 Jan,Average Price (pounds),Percent,402847,All Property Types
E12000008,2015 Jan,Average Price (pounds),Percent,264848,All Property Types
E12000009,2015 Jan,Average Price (pounds),Percent,212878,All Property Types
E92000001,2014 Dec,Average Price (pounds),Percent,203346,All Property Types
E12000001,2014 Dec,Average Price (pounds),Percent,118798,All Property Types
E12000002,2014 Dec,Average Price (pounds),Percent,136688,All Property Types
E12000003,2014 Dec,Average Price (pounds),Percent,139199,All Property Types
E12000004,2014 Dec,Average Price (pounds),Percent,153904,All Property Types
E12000005,2014 Dec,Average Price (pounds),Percent,160267,All Property Types
E12000006,2014 Dec,Average Price (pounds),Percent,227176,All Property Types
E12000007,2014 Dec,Average Price (pounds),Percent,402898,All Property Types
E12000008,2014 Dec,Average Price (pounds),Percent,264217,All Property Types
E12000009,2014 Dec,Average Price (pounds),Percent,211576,All Property Types
E92000001,2014 Nov,Average Price (pounds),Percent,202704,All Property Types
E12000001,2014 Nov,Average Price (pounds),Percent,118778,All Property Types
E12000002,2014 Nov,Average Price (pounds),Percent,136864,All Property Types
E12000003,2014 Nov,Average Price (pounds),Percent,138291,All Property Types
E12000004,2014 Nov,Average Price (pounds),Percent,154009,All Property Types
E12000005,2014 Nov,Average Price (pounds),Percent,159782,All Property Types
E12000006,2014 Nov,Average Price (pounds),Percent,226352,All Property Types
E12000007,2014 Nov,Average Price (pounds),Percent,400803,All Property Types
E12000008,2014 Nov,Average Price (pounds),Percent,262969,All Property Types
E12000009,2014 Nov,Average Price (pounds),Percent,210799,All Property Types
E92000001,2014 Oct,Average Price (pounds),Percent,203311,All Property Types
E12000001,2014 Oct,Average Price (pounds),Percent,118619,All Property Types
E12000002,2014 Oct,Average Price (pounds),Percent,137383,All Property Types
E12000003,2014 Oct,Average Price (pounds),Percent,138639,All Property Types
E12000004,2014 Oct,Average Price (pounds),Percent,154170,All Property Types
E12000005,2014 Oct,Average Price (pounds),Percent,159925,All Property Types
E12000006,2014 Oct,Average Price (pounds),Percent,227303,All Property Types
E12000007,2014 Oct,Average Price (pounds),Percent,402300,All Property Types
E12000008,2014 Oct,Average Price (pounds),Percent,263518,All Property Types
E12000009,2014 Oct,Average Price (pounds),Percent,212152,All Property Types
E92000001,2014 Sep,Average Price (pounds),Percent,203639,All Property Types
E12000001,2014 Sep,Average Price (pounds),Percent,120251,All Property Types
E12000002,2014 Sep,Average Price (pounds),Percent,138050,All Property Types
E12000003,2014 Sep,Average Price (pounds),Percent,137813,All Property Types
E12000004,2014 Sep,Average Price (pounds),Percent,155263,All Property Types
E12000005,2014 Sep,Average Price (pounds),Percent,160011,All Property Types
E12000006,2014 Sep,Average Price (pounds),Percent,226243,All Property Types
E12000007,2014 Sep,Average Price (pounds),Percent,403670,All Property Types
E12000008,2014 Sep,Average Price (pounds),Percent,263171,All Property Types
E12000009,2014 Sep,Average Price (pounds),Percent,213432,All Property Types
E92000001,2014 Aug,Average Price (pounds),Percent,203406,All Property Types
E12000001,2014 Aug,Average Price (pounds),Percent,121329,All Property Types
E12000002,2014 Aug,Average Price (pounds),Percent,138230,All Property Types
E12000003,2014 Aug,Average Price (pounds),Percent,139749,All Property Types
E12000004,2014 Aug,Average Price (pounds),Percent,155033,All Property Types
E12000005,2014 Aug,Average Price (pounds),Percent,160571,All Property Types
E12000006,2014 Aug,Average Price (pounds),Percent,224167,All Property Types
E12000007,2014 Aug,Average Price (pounds),Percent,404754,All Property Types
E12000008,2014 Aug,Average Price (pounds),Percent,261254,All Property Types
E12000009,2014 Aug,Average Price (pounds),Percent,211731,All Property Types
E92000001,2014 Jul,Average Price (pounds),Percent,200825,All Property Types
E12000001,2014 Jul,Average Price (pounds),Percent,121279,All Property Types
E12000002,2014 Jul,Average Price (pounds),Percent,136629,All Property Types
E12000003,2014 Jul,Average Price (pounds),Percent,138056,All Property Types
E12000004,2014 Jul,Average Price (pounds),Percent,152658,All Property Types
E12000005,2014 Jul,Average Price (pounds),Percent,158073,All Property Types
E12000006,2014 Jul,Average Price (pounds),Percent,221817,All Property Types
E12000007,2014 Jul,Average Price (pounds),Percent,398737,All Property Types
E12000008,2014 Jul,Average Price (pounds),Percent,257701,All Property Types
E12000009,2014 Jul,Average Price (pounds),Percent,209034,All Property Types
E92000001,2014 Jun,Average Price (pounds),Percent,197951,All Property Types
E12000001,2014 Jun,Average Price (pounds),Percent,121217,All Property Types
E12000002,2014 Jun,Average Price (pounds),Percent,135870,All Property Types
E12000003,2014 Jun,Average Price (pounds),Percent,136406,All Property Types
E12000004,2014 Jun,Average Price (pounds),Percent,151454,All Property Types
E12000005,2014 Jun,Average Price (pounds),Percent,157736,All Property Types
E12000006,2014 Jun,Average Price (pounds),Percent,218023,All Property Types
E12000007,2014 Jun,Average Price (pounds),Percent,387182,All Property Types
E12000008,2014 Jun,Average Price (pounds),Percent,253441,All Property Types
E12000009,2014 Jun,Average Price (pounds),Percent,204781,All Property Types
E92000001,2014 May,Average Price (pounds),Percent,196171,All Property Types
E12000001,2014 May,Average Price (pounds),Percent,118613,All Property Types
E12000002,2014 May,Average Price (pounds),Percent,134136,All Property Types
E12000003,2014 May,Average Price (pounds),Percent,136372,All Property Types
E12000004,2014 May,Average Price (pounds),Percent,150008,All Property Types
E12000005,2014 May,Average Price (pounds),Percent,155724,All Property Types
E12000006,2014 May,Average Price (pounds),Percent,216195,All Property Types
E12000007,2014 May,Average Price (pounds),Percent,382705,All Property Types
E12000008,2014 May,Average Price (pounds),Percent,251395,All Property Types
E12000009,2014 May,Average Price (pounds),Percent,204098,All Property Types
E92000001,2014 Apr,Average Price (pounds),Percent,194251,All Property Types
E12000001,2014 Apr,Average Price (pounds),Percent,118315,All Property Types
E12000002,2014 Apr,Average Price (pounds),Percent,133616,All Property Types
E12000003,2014 Apr,Average Price (pounds),Percent,135527,All Property Types
E12000004,2014 Apr,Average Price (pounds),Percent,149319,All Property Types
E12000005,2014 Apr,Average Price (pounds),Percent,155245,All Property Types
E12000006,2014 Apr,Average Price (pounds),Percent,212541,All Property Types
E12000007,2014 Apr,Average Price (pounds),Percent,375337,All Property Types
E12000008,2014 Apr,Average Price (pounds),Percent,247105,All Property Types
E12000009,2014 Apr,Average Price (pounds),Percent,204087,All Property Types
E92000001,2014 Mar,Average Price (pounds),Percent,190037,All Property Types
E12000001,2014 Mar,Average Price (pounds),Percent,116317,All Property Types
E12000002,2014 Mar,Average Price (pounds),Percent,130061,All Property Types
E12000003,2014 Mar,Average Price (pounds),Percent,131800,All Property Types
E12000004,2014 Mar,Average Price (pounds),Percent,146448,All Property Types
E12000005,2014 Mar,Average Price (pounds),Percent,153209,All Property Types
E12000006,2014 Mar,Average Price (pounds),Percent,208325,All Property Types
E12000007,2014 Mar,Average Price (pounds),Percent,361400,All Property Types
E12000008,2014 Mar,Average Price (pounds),Percent,243371,All Property Types
E12000009,2014 Mar,Average Price (pounds),Percent,200618,All Property Types
E92000001,2014 Feb,Average Price (pounds),Percent,189347,All Property Types
E12000001,2014 Feb,Average Price (pounds),Percent,114784,All Property Types
E12000002,2014 Feb,Average Price (pounds),Percent,131370,All Property Types
E12000003,2014 Feb,Average Price (pounds),Percent,133566,All Property Types
E12000004,2014 Feb,Average Price (pounds),Percent,146741,All Property Types
E12000005,2014 Feb,Average Price (pounds),Percent,151239,All Property Types
E12000006,2014 Feb,Average Price (pounds),Percent,207358,All Property Types
E12000007,2014 Feb,Average Price (pounds),Percent,357876,All Property Types
E12000008,2014 Feb,Average Price (pounds),Percent,241314,All Property Types
E12000009,2014 Feb,Average Price (pounds),Percent,198985,All Property Types
E92000001,2014 Jan,Average Price (pounds),Percent,188265,All Property Types
E12000001,2014 Jan,Average Price (pounds),Percent,114531,All Property Types
E12000002,2014 Jan,Average Price (pounds),Percent,129790,All Property Types
E12000003,2014 Jan,Average Price (pounds),Percent,131526,All Property Types
E12000004,2014 Jan,Average Price (pounds),Percent,145261,All Property Types
E12000005,2014 Jan,Average Price (pounds),Percent,152152,All Property Types
E12000006,2014 Jan,Average Price (pounds),Percent,205792,All Property Types
E12000007,2014 Jan,Average Price (pounds),Percent,355830,All Property Types
E12000008,2014 Jan,Average Price (pounds),Percent,240961,All Property Types
E12000009,2014 Jan,Average Price (pounds),Percent,198252,All Property Types
E92000001,2013 Dec,Average Price (pounds),Percent,188544,All Property Types
E12000001,2013 Dec,Average Price (pounds),Percent,116274,All Property Types
E12000002,2013 Dec,Average Price (pounds),Percent,131350,All Property Types
E12000003,2013 Dec,Average Price (pounds),Percent,133265,All Property Types
E12000004,2013 Dec,Average Price (pounds),Percent,145942,All Property Types
E12000005,2013 Dec,Average Price (pounds),Percent,152008,All Property Types
E12000006,2013 Dec,Average Price (pounds),Percent,207270,All Property Types
E12000007,2013 Dec,Average Price (pounds),Percent,352028,All Property Types
E12000008,2013 Dec,Average Price (pounds),Percent,238975,All Property Types
E12000009,2013 Dec,Average Price (pounds),Percent,198613,All Property Types
E92000001,2013 Nov,Average Price (pounds),Percent,186260,All Property Types
E12000001,2013 Nov,Average Price (pounds),Percent,116456,All Property Types
E12000002,2013 Nov,Average Price (pounds),Percent,130047,All Property Types
E12000003,2013 Nov,Average Price (pounds),Percent,131770,All Property Types
E12000004,2013 Nov,Average Price (pounds),Percent,143522,All Property Types
E12000005,2013 Nov,Average Price (pounds),Percent,151495,All Property Types
E12000006,2013 Nov,Average Price (pounds),Percent,202626,All Property Types
E12000007,2013 Nov,Average Price (pounds),Percent,343749,All Property Types
E12000008,2013 Nov,Average Price (pounds),Percent,237224,All Property Types
E12000009,2013 Nov,Average Price (pounds),Percent,197476,All Property Types
E92000001,2013 Oct,Average Price (pounds),Percent,185358,All Property Types
E12000001,2013 Oct,Average Price (pounds),Percent,112868,All Property Types
E12000002,2013 Oct,Average Price (pounds),Percent,129085,All Property Types
E12000003,2013 Oct,Average Price (pounds),Percent,130967,All Property Types
E12000004,2013 Oct,Average Price (pounds),Percent,144444,All Property Types
E12000005,2013 Oct,Average Price (pounds),Percent,151179,All Property Types
E12000006,2013 Oct,Average Price (pounds),Percent,203714,All Property Types
E12000007,2013 Oct,Average Price (pounds),Percent,340045,All Property Types
E12000008,2013 Oct,Average Price (pounds),Percent,235311,All Property Types
E12000009,2013 Oct,Average Price (pounds),Percent,197254,All Property Types
E92000001,2013 Sep,Average Price (pounds),Percent,186082,All Property Types
E12000001,2013 Sep,Average Price (pounds),Percent,119140,All Property Types
E12000002,2013 Sep,Average Price (pounds),Percent,131408,All Property Types
E12000003,2013 Sep,Average Price (pounds),Percent,133207,All Property Types
E12000004,2013 Sep,Average Price (pounds),Percent,143553,All Property Types
E12000005,2013 Sep,Average Price (pounds),Percent,149816,All Property Types
E12000006,2013 Sep,Average Price (pounds),Percent,202026,All Property Types
E12000007,2013 Sep,Average Price (pounds),Percent,340494,All Property Types
E12000008,2013 Sep,Average Price (pounds),Percent,235143,All Property Types
E12000009,2013 Sep,Average Price (pounds),Percent,198055,All Property Types
E92000001,2013 Aug,Average Price (pounds),Percent,185642,All Property Types
E12000001,2013 Aug,Average Price (pounds),Percent,120219,All Property Types
E12000002,2013 Aug,Average Price (pounds),Percent,131532,All Property Types
E12000003,2013 Aug,Average Price (pounds),Percent,131934,All Property Types
E12000004,2013 Aug,Average Price (pounds),Percent,144030,All Property Types
E12000005,2013 Aug,Average Price (pounds),Percent,151665,All Property Types
E12000006,2013 Aug,Average Price (pounds),Percent,202193,All Property Types
E12000007,2013 Aug,Average Price (pounds),Percent,335743,All Property Types
E12000008,2013 Aug,Average Price (pounds),Percent,234507,All Property Types
E12000009,2013 Aug,Average Price (pounds),Percent,196500,All Property Types
E92000001,2013 Jul,Average Price (pounds),Percent,184274,All Property Types
E12000001,2013 Jul,Average Price (pounds),Percent,118564,All Property Types
E12000002,2013 Jul,Average Price (pounds),Percent,129713,All Property Types
E12000003,2013 Jul,Average Price (pounds),Percent,131471,All Property Types
E12000004,2013 Jul,Average Price (pounds),Percent,142534,All Property Types
E12000005,2013 Jul,Average Price (pounds),Percent,150343,All Property Types
E12000006,2013 Jul,Average Price (pounds),Percent,201279,All Property Types
E12000007,2013 Jul,Average Price (pounds),Percent,332988,All Property Types
E12000008,2013 Jul,Average Price (pounds),Percent,233752,All Property Types
E12000009,2013 Jul,Average Price (pounds),Percent,195066,All Property Types
E92000001,2013 Jun,Average Price (pounds),Percent,182088,All Property Types
E12000001,2013 Jun,Average Price (pounds),Percent,115645,All Property Types
E12000002,2013 Jun,Average Price (pounds),Percent,129600,All Property Types
E12000003,2013 Jun,Average Price (pounds),Percent,130724,All Property Types
E12000004,2013 Jun,Average Price (pounds),Percent,141367,All Property Types
E12000005,2013 Jun,Average Price (pounds),Percent,149457,All Property Types
E12000006,2013 Jun,Average Price (pounds),Percent,198110,All Property Types
E12000007,2013 Jun,Average Price (pounds),Percent,324518,All Property Types
E12000008,2013 Jun,Average Price (pounds),Percent,230987,All Property Types
E12000009,2013 Jun,Average Price (pounds),Percent,193267,All Property Types
E92000001,2013 May,Average Price (pounds),Percent,180621,All Property Types
E12000001,2013 May,Average Price (pounds),Percent,115849,All Property Types
E12000002,2013 May,Average Price (pounds),Percent,128085,All Property Types
E12000003,2013 May,Average Price (pounds),Percent,130027,All Property Types
E12000004,2013 May,Average Price (pounds),Percent,141012,All Property Types
E12000005,2013 May,Average Price (pounds),Percent,147312,All Property Types
E12000006,2013 May,Average Price (pounds),Percent,195928,All Property Types
E12000007,2013 May,Average Price (pounds),Percent,322324,All Property Types
E12000008,2013 May,Average Price (pounds),Percent,228343,All Property Types
E12000009,2013 May,Average Price (pounds),Percent,192848,All Property Types
E92000001,2013 Apr,Average Price (pounds),Percent,179900,All Property Types
E12000001,2013 Apr,Average Price (pounds),Percent,115330,All Property Types
E12000002,2013 Apr,Average Price (pounds),Percent,127515,All Property Types
E12000003,2013 Apr,Average Price (pounds),Percent,127980,All Property Types
E12000004,2013 Apr,Average Price (pounds),Percent,139314,All Property Types
E12000005,2013 Apr,Average Price (pounds),Percent,146320,All Property Types
E12000006,2013 Apr,Average Price (pounds),Percent,196687,All Property Types
E12000007,2013 Apr,Average Price (pounds),Percent,320921,All Property Types
E12000008,2013 Apr,Average Price (pounds),Percent,227862,All Property Types
E12000009,2013 Apr,Average Price (pounds),Percent,193336,All Property Types
