Generated by http://opendatacommunities.org,2017-03-10T12:49:07+00:00
http://opendatacommunities.org/data/labour-force/unemployment/claimant-rate/by-age,"Claimant Count and JSA - Claimant rate, England, by District, LEP"
Reference period,2017 Jan
Measure (cell values): ,Claimant rate (%)(Percent)

,,http://opendatacommunities.org/def/concept/general-concepts/byage/1664
http://opendatacommunities.org/id/geography/administration/nmd/E07000087,Fareham E07000087,0.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000010,Fenland E07000010,1
http://opendatacommunities.org/id/geography/administration/nmd/E07000201,Forest Heath E07000201,0.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000080,Forest of Dean E07000080,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000119,Fylde E07000119,1.5
http://opendatacommunities.org/id/geography/administration/md/E08000037,Gateshead E08000037,2.8
http://opendatacommunities.org/id/geography/administration/nmd/E07000173,Gedling E07000173,1.5
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,Gloucester E07000081,1.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000088,Gosport E07000088,1.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000109,Gravesham E07000109,2
http://opendatacommunities.org/id/geography/administration/nmd/E07000145,Great Yarmouth E07000145,4.7
http://opendatacommunities.org/id/geography/administration/lonb/E09000011,Greenwich E09000011,2.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000209,Guildford E07000209,0.5
http://opendatacommunities.org/id/geography/administration/lonb/E09000012,Hackney E09000012,2.4
http://opendatacommunities.org/id/geography/administration/nmd/E07000164,Hambleton E07000164,1
http://opendatacommunities.org/id/geography/administration/lonb/E09000013,Hammersmith and Fulham E09000013,2.4
http://opendatacommunities.org/id/geography/administration/nmd/E07000131,Harborough E07000131,0.5
http://opendatacommunities.org/id/geography/administration/lonb/E09000014,Haringey E09000014,2.4
http://opendatacommunities.org/id/geography/administration/nmd/E07000073,Harlow E07000073,1.9
http://opendatacommunities.org/id/geography/administration/nmd/E07000165,Harrogate E07000165,1.1
http://opendatacommunities.org/id/geography/administration/lonb/E09000015,Harrow E09000015,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,Hart E07000089,0.5
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,Hastings E07000062,2.4
http://opendatacommunities.org/id/geography/administration/nmd/E07000090,Havant E07000090,1.5
http://opendatacommunities.org/id/geography/administration/lonb/E09000016,Havering E09000016,1.7
http://opendatacommunities.org/id/geography/administration/nmd/E07000098,Hertsmere E07000098,1.2
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,High Peak E07000037,1.1
http://opendatacommunities.org/id/geography/administration/lonb/E09000017,Hillingdon E09000017,1.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000132,Hinckley and Bosworth E07000132,1
http://opendatacommunities.org/id/geography/administration/nmd/E07000227,Horsham E07000227,0.7
http://opendatacommunities.org/id/geography/administration/lonb/E09000018,Hounslow E09000018,2.3
http://opendatacommunities.org/id/geography/administration/nmd/E07000011,Huntingdonshire E07000011,0.6
http://opendatacommunities.org/id/geography/administration/nmd/E07000120,Hyndburn E07000120,2.5
http://opendatacommunities.org/id/geography/administration/nmd/E07000202,Ipswich E07000202,2
