num_borrowers,agenew,devontown
105,46,Crediton
81,47,Crediton
86,48,Crediton
83,49,Crediton
158,5,Crediton
85,50,Crediton
87,51,Crediton
79,52,Crediton
68,53,Crediton
72,54,Crediton
53,55,Crediton
66,56,Crediton
59,57,Crediton
59,58,Crediton
52,59,Crediton
158,6,Crediton
43,60,Crediton
61,61,Crediton
56,62,Crediton
84,63,Crediton
72,64,Crediton
65,65,Crediton
57,66,Crediton
91,67,Crediton
70,68,Crediton
86,69,Crediton
172,7,Crediton
77,70,Crediton
69,71,Crediton
60,72,Crediton
43,73,Crediton
44,74,Crediton
37,75,Crediton
27,76,Crediton
40,77,Crediton
47,78,Crediton
34,79,Crediton
144,8,Crediton
34,80,Crediton
16,81,Crediton
18,82,Crediton
20,83,Crediton
21,84,Crediton
19,85,Crediton
20,86,Crediton
16,87,Crediton
5,88,Crediton
11,89,Crediton
166,9,Crediton
9,90,Crediton
6,91,Crediton
5,92,Crediton
4,93,Crediton
1,94,Crediton
1,95,Crediton
1,96,Crediton
2,97,Crediton
1,98,Crediton
451,,Cullompton
14,0,Cullompton
53,1,Cullompton
202,10,Cullompton
1,103,Cullompton
193,11,Cullompton
1,112,Cullompton
3,113,Cullompton
1,114,Cullompton
1,115,Cullompton
6,116,Cullompton
199,12,Cullompton
150,13,Cullompton
145,14,Cullompton
137,15,Cullompton
108,16,Cullompton
116,17,Cullompton
116,18,Cullompton
88,19,Cullompton
79,2,Cullompton
102,20,Cullompton
87,21,Cullompton
92,22,Cullompton
74,23,Cullompton
85,24,Cullompton
98,25,Cullompton
93,26,Cullompton
98,27,Cullompton
104,28,Cullompton
86,29,Cullompton
105,3,Cullompton
107,30,Cullompton
122,31,Cullompton
91,32,Cullompton
111,33,Cullompton
117,34,Cullompton
107,35,Cullompton
105,36,Cullompton
107,37,Cullompton
94,38,Cullompton
86,39,Cullompton
147,4,Cullompton
111,40,Cullompton
93,41,Cullompton
83,42,Cullompton
107,43,Cullompton
90,44,Cullompton
92,45,Cullompton
99,46,Cullompton
93,47,Cullompton
87,48,Cullompton
80,49,Cullompton
173,5,Cullompton
95,50,Cullompton
79,51,Cullompton
61,52,Cullompton
76,53,Cullompton
69,54,Cullompton
54,55,Cullompton
75,56,Cullompton
90,57,Cullompton
61,58,Cullompton
40,59,Cullompton
167,6,Cullompton
74,60,Cullompton
60,61,Cullompton
44,62,Cullompton
75,63,Cullompton
71,64,Cullompton
60,65,Cullompton
77,66,Cullompton
72,67,Cullompton
75,68,Cullompton
77,69,Cullompton
202,7,Cullompton
61,70,Cullompton
48,71,Cullompton
66,72,Cullompton
63,73,Cullompton
41,74,Cullompton
31,75,Cullompton
35,76,Cullompton
33,77,Cullompton
43,78,Cullompton
33,79,Cullompton
200,8,Cullompton
30,80,Cullompton
33,81,Cullompton
19,82,Cullompton
15,83,Cullompton
27,84,Cullompton
12,85,Cullompton
21,86,Cullompton
14,87,Cullompton
18,88,Cullompton
7,89,Cullompton
200,9,Cullompton
7,90,Cullompton
8,91,Cullompton
8,92,Cullompton
1,93,Cullompton
8,94,Cullompton
4,95,Cullompton
2,96,Cullompton
1,97,Cullompton
1,98,Cullompton
1,99,Cullompton
464,,Dartmouth
3,0,Dartmouth
20,1,Dartmouth
83,10,Dartmouth
1,100,Dartmouth
1,101,Dartmouth
66,11,Dartmouth
66,12,Dartmouth
70,13,Dartmouth
64,14,Dartmouth
54,15,Dartmouth
50,16,Dartmouth
41,17,Dartmouth
37,18,Dartmouth
46,19,Dartmouth
22,2,Dartmouth
51,20,Dartmouth
29,21,Dartmouth
33,22,Dartmouth
32,23,Dartmouth
38,24,Dartmouth
39,25,Dartmouth
46,26,Dartmouth
50,27,Dartmouth
48,28,Dartmouth
53,29,Dartmouth
38,3,Dartmouth
51,30,Dartmouth
52,31,Dartmouth
43,32,Dartmouth
43,33,Dartmouth
49,34,Dartmouth
42,35,Dartmouth
47,36,Dartmouth
44,37,Dartmouth
37,38,Dartmouth
41,39,Dartmouth
48,4,Dartmouth
51,40,Dartmouth
36,41,Dartmouth
40,42,Dartmouth
47,43,Dartmouth
47,44,Dartmouth
55,45,Dartmouth
58,46,Dartmouth
45,47,Dartmouth
53,48,Dartmouth
54,49,Dartmouth
60,5,Dartmouth
51,50,Dartmouth
53,51,Dartmouth
47,52,Dartmouth
55,53,Dartmouth
39,54,Dartmouth
53,55,Dartmouth
70,56,Dartmouth
63,57,Dartmouth
47,58,Dartmouth
37,59,Dartmouth
62,6,Dartmouth
42,60,Dartmouth
64,61,Dartmouth
57,62,Dartmouth
59,63,Dartmouth
82,64,Dartmouth
60,65,Dartmouth
68,66,Dartmouth
76,67,Dartmouth
75,68,Dartmouth
93,69,Dartmouth
46,7,Dartmouth
88,70,Dartmouth
70,71,Dartmouth
62,72,Dartmouth
51,73,Dartmouth
48,74,Dartmouth
42,75,Dartmouth
44,76,Dartmouth
53,77,Dartmouth
36,78,Dartmouth
31,79,Dartmouth
69,8,Dartmouth
22,80,Dartmouth
14,81,Dartmouth
25,82,Dartmouth
20,83,Dartmouth
24,84,Dartmouth
19,85,Dartmouth
20,86,Dartmouth
14,87,Dartmouth
8,88,Dartmouth
13,89,Dartmouth
61,9,Dartmouth
7,90,Dartmouth
6,91,Dartmouth
9,92,Dartmouth
3,93,Dartmouth
4,94,Dartmouth
2,95,Dartmouth
3,96,Dartmouth
1,97,Dartmouth
2,98,Dartmouth
520,,Dawlish
7,0,Dawlish
35,1,Dawlish
113,10,Dawlish
1,100,Dawlish
115,11,Dawlish
2,114,Dawlish
1,115,Dawlish
1,116,Dawlish
124,12,Dawlish
91,13,Dawlish
82,14,Dawlish
72,15,Dawlish
62,16,Dawlish
84,17,Dawlish
76,18,Dawlish
61,19,Dawlish
43,2,Dawlish
81,20,Dawlish
70,21,Dawlish
73,22,Dawlish
58,23,Dawlish
63,24,Dawlish
65,25,Dawlish
72,26,Dawlish
63,27,Dawlish
105,28,Dawlish
74,29,Dawlish
55,3,Dawlish
90,30,Dawlish
77,31,Dawlish
83,32,Dawlish
82,33,Dawlish
89,34,Dawlish
60,35,Dawlish
70,36,Dawlish
69,37,Dawlish
61,38,Dawlish
81,39,Dawlish
74,4,Dawlish
56,40,Dawlish
62,41,Dawlish
72,42,Dawlish
70,43,Dawlish
69,44,Dawlish
70,45,Dawlish
66,46,Dawlish
65,47,Dawlish
71,48,Dawlish
60,49,Dawlish
70,5,Dawlish
67,50,Dawlish
60,51,Dawlish
79,52,Dawlish
71,53,Dawlish
53,54,Dawlish
66,55,Dawlish
53,56,Dawlish
67,57,Dawlish
77,58,Dawlish
69,59,Dawlish
77,6,Dawlish
59,60,Dawlish
75,61,Dawlish
64,62,Dawlish
86,63,Dawlish
88,64,Dawlish
78,65,Dawlish
93,66,Dawlish
79,67,Dawlish
78,68,Dawlish
90,69,Dawlish
75,7,Dawlish
72,70,Dawlish
84,71,Dawlish
80,72,Dawlish
66,73,Dawlish
48,74,Dawlish
61,75,Dawlish
34,76,Dawlish
57,77,Dawlish
44,78,Dawlish
31,79,Dawlish
87,8,Dawlish
33,80,Dawlish
30,81,Dawlish
32,82,Dawlish
37,83,Dawlish
16,84,Dawlish
19,85,Dawlish
23,86,Dawlish
25,87,Dawlish
18,88,Dawlish
21,89,Dawlish
86,9,Dawlish
14,90,Dawlish
9,91,Dawlish
9,92,Dawlish
3,93,Dawlish
4,94,Dawlish
3,95,Dawlish
6,96,Dawlish
2,97,Dawlish
2,98,Dawlish
562,,Exeter
